Sport,Top Nations with Medal counts
Aeronautics,SUI - 1
Alpine Skiing,AUT - 114 | SUI - 59 | FRA - 45 | USA - 44 | GER - 31
Alpinism,GBR - 12 | IND - 7 | GER - 2 | SUI - 2 | AUS - 1
Archery,KOR - 69 | USA - 57 | BEL - 52 | FRA - 48 | CHN - 19
Art Competitions,GER - 26 | FRA - 15 | ITA - 14 | AUT - 10 | DEN - 9
Athletics,USA - 1080 | GBR - 338 | URS - 242 | JAM - 156 | GER - 154
Badminton,CHN - 64 | KOR - 35 | INA - 28 | DEN - 12 | MAS - 12
Baseball,CUB - 112 | USA - 68 | JPN - 64 | KOR - 48 | AUS - 24
Basketball,USA - 341 | URS - 146 | YUG - 84 | AUS - 60 | ESP - 60
Basque Pelota,ESP - 2
Beach Volleyball,BRA - 26 | USA - 20 | GER - 6 | AUS - 4 | CHN - 4
Biathlon,GER - 80 | NOR - 62 | RUS - 57 | FRA - 40 | URS - 37
Bobsleigh,SUI - 92 | USA - 74 | GER - 63 | GDR - 38 | ITA - 32
Boxing,USA - 113 | CUB - 73 | GBR - 56 | URS - 51 | ITA - 47
Canoeing,GER - 163 | HUN - 158 | URS - 87 | ROU - 67 | SWE - 57
Cricket,GBR - 21 | FRA - 3
Croquet,FRA - 8
Cross Country Skiing,NOR - 164 | FIN - 141 | SWE - 123 | URS - 111 | ITA - 61
Curling,CAN - 48 | SWE - 29 | SUI - 23 | GBR - 17 | NOR - 14
Cycling,GBR - 182 | FRA - 151 | ITA - 124 | GER - 94 | AUS - 84
Diving,USA - 140 | CHN - 88 | GER - 30 | RUS - 27 | SWE - 21
Equestrianism,GER - 143 | USA - 132 | SWE - 85 | GBR - 83 | FRA - 79
Fencing,ITA - 359 | FRA - 310 | HUN - 236 | URS - 146 | POL - 82
Figure Skating,USA - 66 | RUS - 52 | URS - 44 | CAN - 43 | AUT - 25
Football,BRA - 136 | GER - 104 | USA - 102 | URS - 87 | HUN - 79
Freestyle Skiing,USA - 21 | CAN - 18 | FRA - 12 | CHN - 8 | NOR - 8
Golf,USA - 38 | GBR - 3 | CAN - 1 | CHN - 1 | KOR - 1
Gymnastics,URS - 288 | USA - 194 | JPN - 166 | ROU - 135 | NOR - 121
Handball,KOR - 96 | NOR - 85 | URS - 84 | FRA - 77 | YUG - 72
Hockey,NED - 255 | AUS - 188 | GER - 182 | IND - 173 | GBR - 163
Ice Hockey,CAN - 348 | USA - 276 | SWE - 217 | FIN - 174 | URS - 168
Jeu De Paume,GBR - 2 | USA - 1
Judo,JPN - 84 | FRA - 49 | KOR - 43 | CUB - 36 | NED - 23
Lacrosse,CAN - 36 | GBR - 12 | USA - 12
Luge,GER - 47 | GDR - 37 | AUT - 27 | ITA - 24 | FRG - 14
Military Ski Patrol,FIN - 4 | FRA - 4 | SUI - 4
Modern Pentathlon,HUN - 38 | URS - 27 | SWE - 25 | USA - 17 | ITA - 13
Motorboating,GBR - 6 | FRA - 1
Nordic Combined,NOR - 40 | AUT - 29 | FIN - 23 | GER - 23 | JPN - 8
Polo,GBR - 30 | USA - 12 | ARG - 9 | MEX - 7 | ESP - 5
Racquets,GBR - 10
Rhythmic Gymnastics,RUS - 45 | BLR - 21 | BUL - 18 | ESP - 12 | ITA - 12
Roque,USA - 3
Rowing,USA - 375 | GBR - 270 | GER - 236 | CAN - 203 | GDR - 184
Rugby,FRA - 49 | USA - 36 | GBR - 30 | ROU - 16 | ANZ - 15
Rugby Sevens,FIJ - 13 | RSA - 13 | AUS - 12 | CAN - 12 | GBR - 12
Sailing,GBR - 143 | USA - 140 | NOR - 125 | FRA - 117 | SWE - 113
Shooting,USA - 193 | SWE - 126 | GBR - 99 | NOR - 77 | FRA - 69
Short Track Speed Skating,KOR - 73 | CAN - 70 | CHN - 49 | USA - 42 | ITA - 21
Skeleton,USA - 8 | GBR - 6 | CAN - 4 | RUS - 3 | SUI - 3
Ski Jumping,AUT - 43 | NOR - 39 | FIN - 34 | GER - 26 | JPN - 20
Snowboarding,USA - 24 | SUI - 12 | FRA - 10 | CAN - 7 | AUT - 6
Softball,AUS - 60 | USA - 60 | JPN - 44 | CHN - 15
Speed Skating,NED - 117 | NOR - 80 | USA - 70 | URS - 60 | GER - 47
Swimming,USA - 1078 | AUS - 401 | GER - 156 | GDR - 152 | GBR - 127
Synchronized Swimming,RUS - 54 | JPN - 52 | CHN - 31 | USA - 30 | CAN - 26
Table Tennis,CHN - 81 | KOR - 33 | GER - 16 | JPN - 10 | SGP - 7
Taekwondo,KOR - 19 | CHN - 10 | USA - 9 | TPE - 8 | FRA - 7
Tennis,GBR - 67 | USA - 62 | FRA - 38 | ESP - 19 | GER - 15
Trampolining,CHN - 11 | CAN - 7 | RUS - 4 | GER - 2 | UKR - 2
Triathlon,AUS - 5 | GBR - 5 | SUI - 5 | NZL - 3 | CAN - 2
Tug-Of-War,GBR - 40 | SWE - 19 | USA - 14 | GER - 9 | BEL - 8
Volleyball,URS - 141 | BRA - 120 | USA - 120 | JPN - 101 | ITA - 72
Water Polo,HUN - 172 | USA - 150 | ITA - 120 | URS - 78 | YUG - 76
Weightlifting,URS - 62 | CHN - 57 | USA - 42 | BUL - 36 | POL - 32
Wrestling,USA - 128 | URS - 116 | SWE - 86 | FIN - 85 | BUL - 69
